"관광타입","음식점"
"음식점명","제주명가두루치기"
"개요","안녕하세요. 서귀포 올레시장 맛집 제주명가두루치기입니다. 싱싱한 살아있는 전복이 들어간 특별한 두루치기입니다. 저희 제주 명가 두루치기는 전복 두루치기의 원조 집입니다. 유사 전복 두루치기와는 확연한 다른 맛을 가지고 있습니다. 전복 두루치기 주문 시 냄비에 전복과 홍합, 조개, 새우 등의 해물이 나오며 파채와 콩나물 등 다양한 해물에서 나오는 맛있는 국물이 나옵니다. 단체 예약 시 1시간 전에 꼭 전화 주세요. JFD아파트, 탐라밴딩이 인접해 있습니다."
"주소","제주 서귀포시 태평로 495"
"주소(도로명)","제주특별자치도 서귀포시 태평로 495"
"주소(지번주소)","제주특별자치도 서귀포시 동홍동 385"
"대표번호","0507-1469-2272"
"영업시간","10:00 - 22:00"
"휴무일","전화문의"
"취급메뉴","제주명가두루치기, 참치마요밥"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 양이 많아요, 재료가 신선해요, 가성비가 좋아요, 친절해요"
