"관광타입","음식점"
"음식점명","포102"
"개요","PHO 102입니다. PHO는 한국어로 쌀국수라는 뜻입니다. 102는 세상에서 둘도 없는 하나의 특별한 맛을 뜻합니다. 포는 베트남 북부 지역에 전통음식이며 쇠고기, 소뼈, 닭고기 등 특별한 각종 향신 재료를 넣고 8시간 이상 끓여서 맑은 육수로 맛을 낸 특별한 레시피입니다. 베트남에서 먹는 맛 그대로 포 102에서 가지고 왔습니다. 보인빌딩, 영동수산이 인접해 있습니다."
"주소","제주 제주시 중앙로13길 25-2"
"주소(도로명)","제주특별자치도 제주시 중앙로13길 25-2"
"주소(지번주소)","제주특별자치도 제주시 일도일동 1102-10"
"대표번호","0507-1385-7988"
"영업시간","10:00 - 21:00"
"휴무일","전화문의"
"취급메뉴","소고기 쌀국수, 분짜"
"주차시설 유무","없음"
"리뷰키워드","음식이 맛있어요, 양이 많아요, 친절해요, 특별한 메뉴가 있어요, 혼밥하기 좋아요"
