"관광타입","음식점"
"음식점명","공가네 구이촌"
"개요","안녕하세요. 성산 동남에 위치한 공가네 구이촌입니다. 공가네 구이촌은 다년간 식당 운영의 노하우로 최고로 신선한 제주도 흑돼지와 다양한 반찬 그리고 직접 만드는 음식들로 최고의 맛을 드리고 있습니다. 사랑 나눔 친절 서비스 모두 다 드리고 흑돼지도 드립니다. 많이들 오셔서 맛난 음식과 사장님과 소주 한 잔 기울이고 웃을 수 있는 시간 보내셨으면 합니다. 제주도 맛집 성산 공가네 구이촌 많은 사랑 부탁드립니다. 더베스트제주성산호텔, 귤마씸이 인접해 있습니다."
"주소","제주 서귀포시 성산읍 동류암로 22 1층 공가네구이촌"
"주소(도로명)","제주특별자치도 서귀포시 성산읍 동류암로 22"
"주소(지번주소)","제주특별자치도 서귀포시 성산읍 고성리 297-6"
"대표번호","0507-1337-1479"
"영업시간","11:30-22:00"
"휴무일","매주 일요일"
"취급메뉴","흑돼지 목살, 된장찌개"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 친절해요, 재료가 신선해요, 매장이 청결해요, 가성비가 좋아요"
