"관광타입","음식점"
"음식점명","백록횟집"
"개요","안녕하세요. 성산일출봉 맛집 백록횟집입니다. 저희 백록횟집은 활어회와 해물전골, 해물뚝배기, 전복뚝배기 등 각종 해산물 요리를 하고 있습니다. 제주도 딱새우 회, 전복 해물 라면 맛집을 찾으신다면 저희 백록횟집 빠트릴 수가 없습니다. 친절하신 사장님 덕분에 오신 분들의 입소문이 많은 집입니다. 순수하고 넉넉한 마음으로 여러분의 입맛을 북돋아 드리고 있습니다. 제주 섭지코지 지역의 광치기 해변 바로 근처에 있어서 방문하기에도 수월하십니다. 꼭 한번 방문해 주세요. 감사합니다. 카페 월, 해뜨는초록마을이 인접해 있습니다."
"주소","제주 서귀포시 성산읍 섭지코지로25번길 12"
"주소(도로명)","제주특별자치도 서귀포시 성산읍 섭지코지로25번길 12"
"주소(지번주소)","제주특별자치도 서귀포시 성산읍 고성리 448-1"
"대표번호","064-782-8001"
"영업시간","09:00-21:00"
"휴무일","전화문의"
"취급메뉴","딱새우회, 갈치회"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 재료가 신선해요, 친절해요, 가성비가 좋아요, 양이 많아요"
