"관광타입","음식점"
"음식점명","느랑"
"개요","안녕하세요. 서귀포 성산에 위치해 있는 프리미엄 요리 주점 느랑입니다. 항상 방문해 주시는 고객님들께 최고의 서비스와 음식, 그리고 공간으로 보답해 드리겠습니다. 느랑은 8년 이상 오랜 경력의 오너 셰프가 운영하는 요리 주점으로 최고의 메인 메뉴 6가지를 내어드리며 계절별로 시기에 맞게 제철 음식을 꾸준히 리뉴얼 하고 있습니다. 신선하고 질 좋은 식재료들을 직접 당일 엄선해 사용하고 있습니다. 제주 성산포에서 당일 직송으로 고등어를 받고 있어 국내에서는 가장 신선한 고등어를 즐기실 수 있을 거라 자부합니다. 고등어는 고단백에 오메가3 필수 지방산이 풍부한 어종입니다. 심혈관 질환을 감소시키고 성장과 발달을 촉진하며, 혈압과 콜레스테롤 수치를 낮추고 체중 감소를 돕는 효능이 있습니다. 느랑에서는 면 역체계를 강화하고 피부 미용에도 좋으며 무엇보다 적혈구 수를 늘려 암 예방에도 효과가 탁월한 완벽한 슈퍼푸드인 최상급 신선도의 고등어를 보다 저렴하게 제공해 드립니다. 고등어회, 고등어 초밥뿐만 아니라 새우크림 파스타, 가지 튀김, 스지 어묵탕, 노르웨이산 연어 회 등 다양한 메뉴가 구성되어 있어 고등어를 못 드시는 분들도 선택의 폭이 넓게, 취향에 맞게 즐기실 수 있습니다. 예약 및 방문 문의는 전화 주시면 신속하게 안내해 드립니다. 동남초등학교, 또또양꼬치, 태백관이 인접해 있습니다."
"주소","제주 서귀포시 성산읍 동류암로 47-1 "
"주소(도로명)","제주특별자치도 서귀포시 성산읍 동류암로 47-1"
"주소(지번주소)","제주특별자치도 서귀포시 성산읍 고성리 316-7"
"대표번호","0507-1341-5164"
"영업시간","17:00-01:00"
"휴무일","전화문의"
"취급메뉴","제주고등어숙성사시미, 새우크림파스타"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 특별한 메뉴가 있어요, 친절해요, 기본 안주가 좋아요, 매장이 청결해요"
