"관광타입","음식점"
"음식점명","월정리 유메이우동"
"개요","안녕하세요. 유메이우동입니다. 진한 육수를 우려 만드는 소고기 베이스의 우동을 만들고 있습니다. 소고기우동, 소고기카레우동, 소곱창우동모두 유메이우동을 대표하는 메뉴입니다. 어디에나 있을 수 있는 메뉴이지만 생소한 메뉴이기도 하며 중요한 건 유메이우동의 진한 육수는 대한민국 어느 곳에도 없기에 제주에 오신다면 꼭 드셔보시기를 추천드립니다. 정성스럽게 음식을 만들어 마음까지 따뜻해지는유메이우동 꼭 드시러 오세요. 월정멘보, 단골52번지가 인접해 있습니다."
"주소","제주 제주시 구좌읍 월정3길 52"
"주소(도로명)","제주특별자치도 제주시 구좌읍 월정3길 52"
"주소(지번주소)","제주특별자치도 제주시 구좌읍 월정리 501-1"
"대표번호","064-783-9877"
"영업시간","10:00 - 16:00"
"휴무일","매주 화요일"
"취급메뉴","소고기우동, 소곱창우동"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 친절해요, 특별한 메뉴가 있어요, 혼밥하기 좋아요, 인테리어가 멋져요"
