"관광타입","음식점"
"음식점명","한가네흑돼지"
"개요","한가네 흑돼지는 제주도 서귀포에 위치한 제주 흑돼지 전문점입니다. 고객을 가족처럼 생각하는 정직한 음식점입니다. 냉동이 아닌 생고기로 제공되며 주문과 함께 칼집을 내어 최고의 식감과 육즙을 즐기실 수 있도록 만듭니다. 맛과 좋은 재료, 그리고 정성이 담긴 한가네 흑돼지에서 제주의 진정한 풍미와 여행의 추억도 담아 가세요. 주차 50대 가능합니다. 서귀포혁신도시부영사랑으로아파트, 오름어린이공원이 인접해 있습니다."
"주소","제주 서귀포시 서호호근로 42"
"주소(도로명)","제주특별자치도 서귀포시 서호호근로 42"
"주소(지번주소)","제주특별자치도 서귀포시 서호동 232-1"
"대표번호","0507-1309-1188"
"영업시간","11:00 - 22:00"
"휴무일","없음"
"취급메뉴","제주흑돼지 오겹살, 제주흑돼지목살 "
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 매장이 넓어요, 단체모임 하기 좋아요, 주차하기 편해요, 재료가 신선해요"
