"관광타입","음식점"
"음식점명","제주흑돈세상수라간"
"개요","귀하고 귀한 제주산 흑돼지를 직접 농장 운영하는 곳으로 믿고 안심하고 먹을 수 있는 국내산 제주 흑돼지를 맛볼 수 있도록 운영하고 있습니다. 저희 제주 흑돈 세상 수라간은 여행객들보다는 제주 현지인들의 단골이 정말 많은 곳이며 직원들의 친절함과 빠른 서비스 그리고 고기를 맛있게 드실 수 있도록 직접 구워드리는 서비스를 진행하고 있습니다. 또한, 밑반찬들은 고기와 곁들이기 좋은 신선한 야채들을 종류별로 다양하게 준비해서 푸짐하고 건강한 식사를 하실 수 있도록 항상 노력하고 힘쓰고 있습니다. 이것이 정녕 돼지고기인가, 소고기인가, 육즙 한가득 제주산 흑돼지 고기 맛보시고 즐거운 여행 되시길 바랍니다. 무지개마트, 서홍공방이 인접해 있습니다."
"주소","제주 서귀포시 중산간동로 8051"
"주소(도로명)","제주특별자치도 서귀포시 중산간동로 8051"
"주소(지번주소)","제주특별자치도 서귀포시 서홍동 265-1"
"대표번호","064-762-8588"
"영업시간","12:00 - 22:00"
"휴무일","매주 일요일"
"취급메뉴","냉국수, 흑오겹살"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 재료가 신선해요, 친절해요, 가성비가 좋아요, 양이 많아요"
