"관광타입","음식점"
"음식점명","레스토랑점심"
"개요","레스토랑점심은 점점 마음에 스미다는 뜻으로 직접 손질하는 제주 돼지 수제 돈가스와 제주의 특색을 살린 재료를 사용하여 맛과 즐거움을 드리고자 항상 노력합니다. 제주 돼지로 만든 히레 가츠와 달고기 생선 가츠, 직접 만드는 소바 육수의 냉소바를 새우튀김, 전복과 함께 즐기세요. 직접 재배하는 귤로 음료와 소스를 제공합니다. 제주에서만 경험할 수 있는 특색 있는 음식과 서비스를 레스토랑점심에서 즐기실 수 있습니다. 신례초등학교, 신례지역아동센터가 인접해 있습니다."
"주소","제주 서귀포시 남원읍 중산간동로 7090"
"주소(도로명)","제주특별자치도 서귀포시 남원읍 중산간동로 7090"
"주소(지번주소)","제주특별자치도 서귀포시 남원읍 신례리 856-1"
"대표번호","064-733-7090"
"영업시간","10:30-16:00"
"휴무일","매주 화요일"
"취급메뉴","돈가츠어묵우동, 에비가츠 김치어묵우동"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 친절해요, 재료가 신선해요, 매장이 청결해요, 뷰가 좋아요"
