"관광타입","음식점"
"음식점명","스텔베이커리앤브런치"
"개요","스텔베이커리는 르꼬르동 블루 디플로마를 가진 블랑제리가 유기농 밀가루, 프랑스 밀가루를 사용하고 천연발효종을 이용하여 맛있고 건강한 빵과 디저트를 만들고 있습니다. 브런치는 스텔에서 만든 신선한 빵과 함께 즐기실 수 있습니다. 아름다운 제주, 아늑한 스텔베이커리에서 편안하고 즐거운 시간 보내시길 바랍니다. 혼디밥상, 서림수산이 인접해 있습니다."
"주소","제주 서귀포시 대정읍 전세비로 20-76"
"주소(도로명)","제주특별자치도 서귀포시 대정읍 전세비로 20-76"
"주소(지번주소)","제주특별자치도 서귀포시 대정읍 일과리 1933"
"대표번호","0507-1343-6747"
"영업시간","10:30 - 18:00"
"휴무일","매주 월요일"
"취급메뉴","루꼴라피자, 분홍라떼"
"주차시설 유무","있음"
"리뷰키워드","빵이 맛있어요, 매장이 청결해요, 뷰가 좋아요, 주차하기 편해요, 커피가 맛있어요"
