"관광타입","음식점"
"음식점명","놀놀"
"개요","놀놀플레이그라운드 카페입니다. 야외놀이터에 카페와 푸드코트가 있어 엄마 아빠의 커피 한잔, 밥도 해결 가능합니다. 아이들도 재미나게 먹고 놀 수 있는곳입니다. 그네, 모래놀이, 클라이밍, 미끄럼틀, 나무오르기, 마시멜로구이가 있습니다. 여름엔 미니풀장까지 있습니다. 예쁜 정원에서 아이들이 재미있게 뛰놀고 부모는 여유를 즐기고, 연인끼리 그네도 타고, 여러분께 재미와 여유, 그리고 추억을 드리겠습니다. 비자림민박펜션, 지니민박이 인접해 있습니다."
"주소","제주 제주시 구좌읍 비자림로 2228 놀놀 플레이그라운드"
"주소(도로명)","제주특별자치도 제주시 구좌읍 비자림로 2228"
"주소(지번주소)","제주특별자치도 제주시 구좌읍 평대리 3283-2"
"대표번호","0507-1394-2228"
"영업시간","10:00~19:00"
"휴무일","넷째 화요일"
"취급메뉴","수제 자몽에이드, 순살치킨"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 인테리어가 멋져요, 주차하기 편해요, 친절해요, 재료가 신선해요"
