"관광타입","음식점"
"음식점명","명단 성산본점"
"개요","저희 명단은 100퍼센트 사전 예약제 식당이며 당일 3시간 전까지만 네이버로 예약 가능하시고 2인 이상 또는 당일 예약 마감 후에는 전화로 문의하세요. 네이버 예약 시 인당 2만 원 예약금을 받고 있습니다. 예약 신청 후 예약금을 입금해 주세요. 입금 확인 후 확정됩니다. 번거로운 예약 절차만큼 신중히 예약 부탁드립니다. 예약 시 안내란을 모두 확인하신 후 예약 주세요. 성산파출소, 성산은하식당이 인접해 있습니다."
"주소","제주 서귀포시 성산읍 성산중앙로 59 1층"
"주소(도로명)","제주특별자치도 서귀포시 성산읍 성산중앙로 59"
"주소(지번주소)","제주특별자치도 서귀포시 성산읍 성산리 219-9"
"대표번호","0507-1380-0891"
"영업시간","17:00-22:00"
"휴무일","전화문의"
"취급메뉴","돼지 오겹살, 돼지 목살"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 인테리어가 멋져요, 친절해요, 특별한 날 가기 좋아요, 재료가 신선해요"
