"관광타입","음식점"
"음식점명","명륜진사갈비 제주중문점"
"개요","1인분 가격에 숯불 돼지갈비, 삼겹살 무한리필이며 셀프바, 공기밥, 음료수까지 무한 제공합니다. 명륜진사갈비는 목전지 70퍼센트와 돼지갈비 30퍼센트를 구성하여 만든 양념구이 요리입니다. 명륜진사갈비는 최고 등급의 목전지만을 사용합니다. 안심하고 드세요. 무한리필 이용 시간 평일 120분이며 주말, 공휴일 100분으로, 오랫동안 기다리는 분들을 위해 이용 시간을 꼭 지켜주시기 바랍니다. 감사합니다. 천백 휴양펜션, 사해방 흑돼지가 인접해 있습니다."
"주소","제주 서귀포시 1100로 6"
"주소(도로명)","제주특별자치도 서귀포시 1100로 6"
"주소(지번주소)","제주특별자치도 서귀포시 중문동 1918-4"
"대표번호","064-739-5382"
"영업시간","16:00-01:00"
"휴무일","매주 월요일"
"취급메뉴","숯불돼지갈비 무한리필, 냉면"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 가성비가 좋아요, 양이 많아요, 친절해요, 단체모임 하기 좋아요"
