"관광타입","음식점"
"음식점명","교래흑돼지 본점"
"개요","제주도 조천읍 교래리 소재 교래 흑돼지입니다. 저희 업소는 제주산 흑돼지를 최고급 참숯 직화구이를 전문으로 하는 곳입니다. 언제든지 편안한 마음으로 방문하시어 제대로 된 맛있는 제주 흑돼지를 맛보세요. 싱싱한 재료로 성심성의껏 진정한 맛으로 모시겠습니다. 감사합니다. 흑돼지 전문식당이라 김치찌개, 된장찌개, 냉면과 같은 사이드 메뉴만 주문은 되지 않습니다. 죄송합니다. 에스오일 남조로주유소, 각지불, 더올레무인텔이 인접해 있습니다."
"주소","제주 제주시 조천읍 교래4길 73"
"주소(도로명)","제주특별자치도 제주시 조천읍 교래4길 73"
"주소(지번주소)","제주특별자치도 제주시 조천읍 교래리 216-1"
"대표번호","0507-1439-6338"
"영업시간","11:00-21:00"
"휴무일","매주 수요일"
"취급메뉴","흑돼지 오겹살, 흑돼지 목살"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 친절해요, 재료가 신선해요, 주차하기 편해요, 매장이 넓어요"
