"관광타입","음식점"
"음식점명","징크"
"개요","라이더 출신의 제빵사와 직원들이 운영하는 베이커리 카페입니다. 제주도에 있는 재료를 사용해 건강한 음식을 만드는 것이 목표입니다. 천연 발효종과 유기농 밀가루를 사용해 만들어낸 건강한 빵들, 일주일 이상 직접 숙성 훈육한 제주 흑돼지 수제햄, 프랑스산 밀가루에 천연 발효종을 키워 48시간 숙성한 반죽으로 만든 겉바속촉 치아바타로 만든 이곳의 대표 메뉴입니다. 이외에도 치아바타, 에그타르트, 버터 프레첼 등 담백한 빵들이 가득합니다. 레아웨딩홀, 하귀농협 본점이 인접해 있습니다."
"주소","제주 제주시 애월읍 일주서로 7021"
"주소(도로명)","제주특별자치도 제주시 애월읍 일주서로 7021"
"주소(지번주소)","제주특별자치도 제주시 애월읍 하귀2리 1768-7"
"대표번호","0507-1343-5920"
"영업시간","09:00 - 19:00"
"휴무일","매주 수요일"
"취급메뉴","제주고사리오믈렛, 제주 흑돼지 수제 햄피자"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 재료가 신선해요, 친절해요, 특별한 메뉴가 있어요, 주차하기 편해요"
