"관광타입","음식점"
"음식점명","제주협재하늘집"
"개요","저희 제주협재하늘집 구 제주돌담집은 흑돼지 꽃살을 비롯하여 다양한 맛을 느낄 수 있는 흑돼지 전문점입니다. 100퍼센트 제주산 돼지만 취급하고 있어 믿고 안심해서 드실 수 있습니다. 제주협재하늘집의 맛은 무쇠 화덕에 정통 흑돼지를 고집하고 있어 당일 도축 프리미엄 최고 등급 흑돼지를 대표하고 있습니다. 비양도가 한눈에 들어오는 View를 보유하고 있어 눈과 입이 동시에 즐겁습니다. GS25 옹포중앙점, 대금식당이 인접해 있습니다."
"주소","제주 제주시 한림읍 한림로 475"
"주소(도로명)","제주특별자치도 제주시 한림읍 한림로 475"
"주소(지번주소)","제주특별자치도 제주시 한림읍 옹포리 588-2"
"대표번호","0507-1306-9669"
"영업시간","11:30 - 23:00"
"휴무일","없음"
"취급메뉴","흑돼지 오겹살, 흑돼지김치찌개"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 뷰가 좋아요, 친절해요, 재료가 신선해요, 주차하기 편해요"
