"관광타입","음식점"
"음식점명","풍차와전복 "
"개요","저희 풍차와 전복은 신선한 전복들을 활용해 조리하는 향토음식 전문점입니다. 연예인들도 알음알음 방문할 정도로 숨은 맛집입니다. 가족단위로도 부담 없이 방문하실 수 있도록 아이 전용 의자도 준비되어 있으며, 푸짐한 상차림과 도민들에게 인정받은 로컬맛집으로 방문객들에게 최선을 다하고 있습니다. 협재해수욕장, 비양도, 차귀도, 수월봉, 오설록티뮤지엄, 신화월드 등이 가깝습니다. 협재해수욕장, 오설록, 두모리 포구, 두모리사무소,신창중학교가 인접해 있습니다."
"주소","제주 제주시 한경면 두모5길 59"
"주소(도로명)","제주특별자치도 제주시 한경면 두모5길 59"
"주소(지번주소)","제주특별자치도 제주시 한경면 두모리 2637-7"
"대표번호","0507-1435-0172"
"영업시간","11:00-21:00"
"휴무일","매주 일요일"
"취급메뉴","전복돌솥밥, 전복해물뚝배기"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 재료가 신선해요, 친절해요, 뷰가 좋아요, 매장이 청결해요"
