"관광타입","음식점"
"음식점명","새별하노이"
"개요","제주 모슬포에 위치한 새별하노이입니다. 주 메뉴 소고기 양지 쌀국수는 제주에서 재배하는 15가지로 우려낸 육수에 베트남에서 제일가는 레시피를 더해 만든 음식입니다. 반쎄오는 제주 흑돼지고기, 제주 새우를 가미한 음식으로 오직 새별하노이 식당에서 맛보실 수 있습니다. 매일 정성껏 끓이는 양지 육수와 신선한 재료들로 손님 분들께 제주 맛집으로 최고의 음식을 드리기 위해 최선을 다하겠습니다. GS 행복주유소, 에듀골드힐더클래식이 인접해 있습니다"
"주소","제주 서귀포시 대정읍 일주서로 2290 101동1호"
"주소(도로명)","제주특별자치도 서귀포시 대정읍 일주서로 2290"
"주소(지번주소)","제주특별자치도 서귀포시 대정읍 보성리 2548"
"대표번호","0507-1389-6554"
"영업시간","11:00 - 15:00"
"휴무일","매주 수요일"
"취급메뉴","소고기양지쌀국수, 똠양꿍쌀국수"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 뷰가 좋아요, 친절해요, 인테리어가 멋져요, 매장이 넓어요"
