"관광타입","음식점"
"음식점명","쌈총사횟집 본점"
"개요","신선한 야채 초무침과 막장에 곁들여진 두툼한 막회로 건강하고 새로운 맛을 제공합니다. 날치알이 수놓아져 보기만 해도 식욕이 돋는 야채를 오직 젓가락만으로 푸짐하게 드실 수 있습니다. 상추나 깻잎을 손으로 싸서 먹기 귀찮아서 패스하셨던 분들, 더이상 손 사용하지 마세요. 회를 알지 못해도, 회를 먹기 곤란한 어린 아이들도 함께 즐길 수 있도록 두툼한 살이 가득한 뽈락탕수, 달콤 탱글 한 크림새우, 바삭바삭한 오징어튀김을 포함한 16가지 음식이 제공되니 이보다 더 행복할 수 없는 세트로 구성되어 있습니다. 행복나눔, 서흥살롱이 인접해 있습니다."
"주소","제주 서귀포시 중산간동로 8024 쌈총사횟집"
"주소(도로명)","제주특별자치도 서귀포시 중산간동로 8024"
"주소(지번주소)","제주특별자치도 서귀포시 서홍동 247-1"
"대표번호","0507-1334-4597"
"영업시간","12:00 - 22:00"
"휴무일","매주 목요일"
"취급메뉴","참돔회, 대광어회"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 친절해요, 재료가 신선해요, 가성비가 좋아요, 양이 많아요"
