"관광타입","음식점"
"음식점명","노포갈비  "
"개요","휴무일은 매주 일요일입니다. 현재 지역주민들께 사랑받고 있는 노포갈비는 알려지지 않은 숨은 맛집으로,제주산돼지고기와 참숯만을 사용하고 있으며 농림축산부 지정 안전하게 먹을수 있는 식당에 선정됐습니다. 3대가 한 자리에 모여 식사하는 모습을 어렵지 않게 볼 수 있는 가족 모임하기 좋은 식당이기도 합니다. 최고인기 사이드메뉴 제주산황게양념장 및 모든 밑반찬은 손수 만들어 제공하오니 안전하게 드실 수 있습니다. 감사합니다. 탐라사우나, 제주시청, 제주삼성의원이 인접해 있습니다."
"주소","제주 제주시 신성로 82-2 노포갈비"
"주소(도로명)","제주특별자치도 제주시 신성로 82"
"주소(지번주소)","제주특별자치도 제주시 도남동 84-19"
"대표번호","0507-1408-7740"
"영업시간","12:00 - 22:00"
"휴무일","매주 일요일"
"취급메뉴","제주산돼지양념갈비, 제주돼지생갈비"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 재료가 신선해요, 친절해요, 매장이 청결해요, 매장이 넓어요"
