"관광타입","음식점"
"음식점명","돈덕이네"
"개요","제주 흑돼지 제대로 맛보고 싶다면 돈덕이네로 오세요. 사장님의 넘칠듯한 푸짐한 인심으로 저렴한 가격에 흑돼지를 생으로 가성비 좋게 만나보실 수 있는 돈덕이네 입니다. 제주도에서 흑돼지 시식은 필수 코스이며, 그 필수 코스를 돈덕이네로 선택하시는 분들이 많으시답니다. 다양하고 푸짐한 밑반찬과 생고기가 조화롭게 잘 어울리다 보니 손님들의 발길이 끊이질 않고 있답니다. 제주에서 흑돼지를 찾으신다면 돈덕이네로 오세요. 힐링빌라, 성산서부교회가 인접해 있습니다."
"주소","제주 서귀포시 성산읍 고성중앙로 41-8 "
"주소(도로명)","제주특별자치도 서귀포시 성산읍 고성중앙로 41-8"
"주소(지번주소)","제주특별자치도 서귀포시 성산읍 고성리 1444-3"
"대표번호","064-782-5513"
"영업시간","15:00-21:30"
"휴무일","공휴일"
"취급메뉴","흑돼지오겹살, 흑돼지목살"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 친절해요, 재료가 신선해요, 매장이 청결해요, 가성비가 좋아요"
