"관광타입","음식점"
"음식점명","돔베돈"
"개요","돔베돈은 1996년 개업한 제주에서 오랜 전통을 가진 원조 흑돼지 전문점으로 신선한 100퍼센트 제주산 흑돼지만을 사용하며, 세계적인 맛집 가이드북 미슐랭 가이드에 대한민국 맛집으로 선정되었습니다. 제주시 흑돼지거리에 위치해 있으며 흑오겹, 흑가브리살, 흑항정살, 흑목살 등 여러 부위를 한 번에 맛볼 수 있는 흑돼지 모듬이 인기 메뉴입니다. 청정 제주 무공해 화산석 돌판 사용합니다. 네이버 예약시 돔베고기가 소진된 경우 흑돼지로 추가 제공됨을 양해바랍니다. 제주애퐁당, 탑동골목이 인접해 있습니다."
"주소","제주 제주시 관덕로15길 25"
"주소(도로명)","제주특별자치도 제주시 관덕로15길 25"
"주소(지번주소)","제주특별자치도 제주시 건입동 1399-3"
"대표번호","064-753-0008"
"영업시간","11:00 - 23:00"
"휴무일","없음"
"취급메뉴","돔베고기, 된장찌개"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 친절해요, 매장이 넓어요, 재료가 신선해요, 매장이 청결해요"
