"관광타입","음식점"
"음식점명","AND 유 CAFE"
"개요","And 유 Cafe는 Plant based, 동물성 식품을 전혀 사용하지 않는 vegan 카페입니다. 제주 서쪽의 한림과 협재 중간 즈음, 작은 마을 옹포리에 있어요. 오래된 공간을 저희 손으로 고치고, 꾸미고, 오래된 것들, 낡은 것들, 버려진 것들을 고쳐서 채웠어요. 홈메이드 비건 버거, 샌드위치, 브런치, 디저트, 애프터눈 티, 공정무역 커피와 초콜릿, 유기농 차를 드실 수 있어요. 지속 가능한 것들을 지향합니다. 주희헤어샾, 디자인아키가 인접해 있습니다."
"주소","제주 제주시 한림읍 한림로 518"
"주소(도로명)","제주특별자치도 제주시 한림읍 한림로 518"
"주소(지번주소)","제주특별자치도 제주시 한림읍 옹포리 203"
"대표번호","0507-1302-9564"
"영업시간","12:00 - 19:00"
"휴무일","매주 화요일, 수요일"
"취급메뉴","팔라펠랩, 비건치킨랩"
"주차시설 유무","없음"
"리뷰키워드","음식이 맛있어요, 특별한 메뉴가 있어요, 재료가 신선해요, 인테리어가 멋져요, 메뉴 구성이 알차요"
