"관광타입","음식점"
"음식점명","아일랜드오아시스 "
"개요","과거 과일 선과장을 리모델링하여 고즈넉한 제주의 분위기와 와인과 함께 한우 스테이크, 파스타, 햄버거 등 다양한 국내외 트렌디한 음식을 선보이는 캐주얼 레스토랑 입니다. 와인 콜키지 FREE, 브레이크 타임 없음, 펫프렌들리, 합리적인 가격뿐만 아닌 문턱을 낮춘 운영으로 한발 더 다가가겠습니다. 협재, 금능해수욕장, 오설록, 제주영어교육도시, 저지예술인마을, 금오름, 사장밧물, 송아오름이 인접해 있습니다."
"주소","제주 제주시 한경면 홍수암로 555"
"주소(도로명)","제주특별자치도 제주시 한경면 홍수암로 555"
"주소(지번주소)","제주특별자치도 제주시 한경면 조수리 368-1"
"대표번호","0507-1355-5960"
"영업시간","11:00-21:00"
"휴무일","매주 금요일"
"취급메뉴","뼈등심 스테이크, 수비드 한우 스테이크 "
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 매장이 넓어요, 인테리어가 멋져요, 특별한 메뉴가 있어요, 친절해요"
