"관광타입","음식점"
"음식점명","월정국수"
"개요","월정리에 숨어있는 고기국수 맛집 월정국수입니다. 고기국수, 성게국수, 돔베고기, 만두 등과 같은 제주도에서만 느끼실 수 있는 국수 전문점입니다. 저희는 모든 식재료를 제주산으로 사용하고 있고 내 아이가 먹는다는 생각으로 철저한 위생관리와 맛과 서비스에 온전히 신경을 쓰고 있습니다. 월정리 해변과 도보로 가깝고, 주차장이 매우 넓기 때문에 렌트카 타고 오시는 분들도 걱정없이 많이들 찾아주세요. 친절히 모시겠습니다. 월정리 달이뜨는식탁, 루나마르풀리조트가 인접해 있습니다."
"주소","제주 제주시 구좌읍 월정3길 6"
"주소(도로명)","제주특별자치도 제주시 구좌읍 월정3길 6"
"주소(지번주소)","제주특별자치도 제주시 구좌읍 월정리 305"
"대표번호","064-782-1233"
"영업시간","09:30 - 16:00"
"휴무일","매주 월요일"
"취급메뉴","고기국수, 김밥"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 혼밥하기 좋아요, 친절해요, 재료가 신선해요, 매장이 청결해요"
