"관광타입","음식점"
"음식점명","토스카나호텔 브루치오 레스토랑"
"개요","이탈리아 정통 메뉴를 제주의 이국적인 풍경과 함께 만끽할 수 있는 이탈리아 레스토랑입니다. 모던한 분위기가 돋보이는 내부 공간과 따뜻한 햇살을 느끼며 여유로운 브런치가 가능한 야외 테라스 공간으로 구성돼 있습니다. 이탈리아 셰프 ROSSI 가 직접 만드는 피자, 파스타, 안티파스토, 어린이 입맛에 맞춘 다양하고 품격있는 이탈리아식 요리를 맛보며 근사한 식사를 즐길 수 있습니다. 농업기술연구원이 인접해 있습니다."
"주소","제주 서귀포시 용흥로66번길 158-7 토스카나호텔 신관 1층"
"주소(도로명)","제주특별자치도 서귀포시 용흥로66번길 158-7"
"주소(지번주소)","제주특별자치도 서귀포시 강정동 3704"
"대표번호","064-735-7105"
"영업시간","11:00 - 22:00"
"휴무일","없음"
"취급메뉴","브루치오 안티파스토, 토스카나 샐러드"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 특별한 메뉴가 있어요, 친절해요, 매장이 청결해요, 재료가 신선해요"
