"관광타입","음식점"
"음식점명","제주일도"
"개요","제주일도는 섭지코지의 입구, 제주 섭지코지 마을에 위치한 제주 흑돼지 전문점입니다. 모든 국민들이 즐기는 돼지고기에 전문화된 숙성 기법을 통해 제주일도 만의 스타일로 구현하였습니다. 제주일도의 흑돼지는 부드러움과 육즙이 함께 어우러져 깊은 맛과 향을 느낄 수 있습니다. 그리고 엄선된 고기와 재료만을 사용하며 정성껏 준비한 고기를 제주일도에서 맛있게 즐겨보세요. 호야네집밥, 씨유 제주섭지코지점이 인접해 있습니다."
"주소","제주 서귀포시 성산읍 신양로 107 제주일도"
"주소(도로명)","제주특별자치도 서귀포시 성산읍 신양로 107"
"주소(지번주소)","제주특별자치도 서귀포시 성산읍 고성리 208-7"
"대표번호","0507-1378-1568"
"영업시간","12:00-22:00"
"휴무일","전화문의"
"취급메뉴","흑오겹살, 흑목살"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 친절해요, 재료가 신선해요, 매장이 넓어요, 매장이 청결해요"
