"관광타입","음식점"
"음식점명","열정돈 성산본점"
"개요","열정돈은 흑돼지 생 근고기만을 판매 운영 중입니다. 열정돈에서는 모든 흑돼지는 제주산만 판매합니다. 흑돼지 목살 삼겹살 판매합니다. 흑돼지는 연탄구이로 직원이 직접 구워드리고 있습니다. 열정돈에서 고기를 드시면서 후식으로는 깔끔한 김치찌개나 열정돈 시그니처 메뉴인 대파 국수와 함께 드시면 더욱 깔끔하고 맛있게 드실 수 있습니다. 오시는 길은 제주 성산 고성리 고성동서로 67 공용주차장 입구입니다. 모두 코로나19 극복합시다. 파이팅입니다. 고성리안, 문화통닭이 인접해 있습니다."
"주소","제주 서귀포시 성산읍 고성동서로 67 1층"
"주소(도로명)","제주특별자치도 서귀포시 성산읍 고성동서로 67"
"주소(지번주소)","제주특별자치도 서귀포시 성산읍 고성리 1195-1"
"대표번호","064-784-1500"
"영업시간","16:00-22:00/24:00"
"휴무일","격주 수요일"
"취급메뉴","열정흑돈, 김치찌개"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 친절해요, 재료가 신선해요, 매장이 청결해요, 양이 많아요"
