"관광타입","음식점"
"음식점명","신산포구자연산횟집"
"개요","섭지코지에서 차량으로 15분 거리 성산읍 신산포구에 위치해 있는 신산포구 자연산 횟집은 신선한 자연산 회만 취급하며, 저렴한 회 포장 서비스를 제공해 드리고 있습니다. 홀에서 드실 시 상차림 비 인당 3000원으로 회를 드실 수 있습니다. 그 외 문어 라면, 한치 물회, 모둠 물회, 해물 갈비탕, 포구회 세트 등 다양하게 준비되어 있으니 찾아주시면 정성껏 모시겠습니다. 정말 감사합니다. 성산포구, 성산스테이, 감성스테이유키가 인접해 있습니다."
"주소","제주 서귀포시 성산읍 환해장성로111번길 4"
"주소(도로명)","제주특별자치도 서귀포시 성산읍 환해장성로111번길 4"
"주소(지번주소)","제주특별자치도 서귀포시 성산읍 신산리 561-1"
"대표번호","0507-1355-0853"
"영업시간","09:00-22:00"
"휴무일","없음"
"취급메뉴","딱새우회, 고등어회"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 재료가 신선해요, 가성비가 좋아요, 친절해요, 양이 많아요"
