"관광타입","음식점"
"음식점명","중문해장북어국"
"개요","제주도 서귀포시 중문동에 위치한 중문해장북어국을 찾아주셔서 깊은 감사드립니다. 호텔 조리 경력 30년의 성실함과 노하우를 배경으로 만들어지는 저희의 대표 메뉴인 북어 해장국은 맵게 자극하여 순간적인 해장을 도와드리는 음식이 아닌 지친 속을 보다 듬고 원기회복에 기반을 둔 상차림 구성으로 전복죽과 함께 즐기실 수 있으며 어머니의 정성과 같은 마음으로 이른 새벽부터 준비하고 있습니다. 제주도 해장국의 일번지가 되려는 생각보다는 오시는 손님들께 다시 오고 싶어지는 서귀포 해장국의 좋은 곳으로 기억되길 소망합니다. 베니키아중문호텔, 중문파출소가 인접해 있습니다."
"주소","제주 서귀포시 천제연로 163 1층"
"주소(도로명)","제주특별자치도 서귀포시 천제연로 163"
"주소(지번주소)","제주특별자치도 서귀포시 중문동 2113-3"
"대표번호","0507-1384-0466"
"영업시간","06:00 - 15:00"
"휴무일","매주 일요일"
"취급메뉴","중문해장북어국, 동태찌개"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 재료가 신선해요, 양이 많아요, 건강한 맛이에요, 가성비가 좋아요"
