"관광타입","음식점"
"음식점명","원더버거"
"개요","저희 원더버거는 재료, 고기 하나하나 직접 고르고 손으로 만든 100퍼센트 수제버거를 제공합니다. 버거에 사용된 빵은 제주빵명장으로부터 주문 제작한 것으로 일반 마가린이 아닌 무염버터로 만든 고급 빵입니다. 패티는 호주산 청정우 목살 100퍼센트로 부드러운 육즙을 느끼실 수 있습니다. 투섬버거에 사용된 대패는 제주 흑돼지로 최상의 맛과 신선도를 위해 농협에서 매일 소량 구매합니다. 한금회헤어샵, 중앙고추, 우리학원이 인접해 있습니다."
"주소","제주 제주시 조천읍 신북로 220 원더버거"
"주소(도로명)","제주특별자치도 제주시 조천읍 신북로 220"
"주소(지번주소)","제주특별자치도 제주시 조천읍 조천리 2229-15"
"대표번호","010-9185-6617"
"영업시간","09:00-19:20"
"휴무일","매주 목요일"
"취급메뉴","투섬버거, 원래버거"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 인테리어가 멋져요, 친절해요, 재료가 신선해요, 혼밥하기 좋아요"
