"관광타입","음식점"
"음식점명","얼랑핀칙하도야"
"개요","예약 신청 후 예약금 입금이 확인되면 확정됩니다. 예약 확정은 영업시간에는 불가능하거나 시간이 오래 걸릴 수 있습니다. 인원수를 영유아 포함 모두 체크해 주세요. 전화는 불가하니 네이버 예약 창에서만 취소 변경해 주세요. 중복 예약을 절대 받지 않습니다. 예약 시간에 늦을 시 타 고객님들께 피해를 줄 수 있습니다. 꼭 입, 퇴장 시간 엄수해 주시길 바랍니다. 메뉴 구성과 가격 정보를 꼭 확인해 주세요. 아모르데이, 꾸끼가 인접해 있습니다."
"주소","제주 제주시 구좌읍 해맞이해안로 1588-42"
"주소(도로명)","제주특별자치도 제주시 구좌읍 해맞이해안로 1588-42"
"주소(지번주소)","제주특별자치도 제주시 구좌읍 하도리 3068-3"
"대표번호","0507-1425-1591"
"영업시간","11:20 - 13:30"
"휴무일","매주 월요일, 일요일"
"취급메뉴","샐러드, 알탕"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 뷰가 좋아요, 재료가 신선해요, 친절해요, 특별한 메뉴가 있어요"
