"관광타입","음식점"
"음식점명","문쏘 제주협재점"
"개요","문쏘는 2016년 협재 해수욕장 근처 테이블 3개의 작은 가게에서 시작하였습니다. 제주산 황게 한 마리가 통째로 올라간 황게카레로 큰 인기를 얻었고, 아시안 미슐랭 미식림 100대 맛집에 선정되었습니다. 두 차례 확장 이전을 하면서, 2020년 일본군 관사를 리모델링하여, 5가지 테마의 독특한 분위기를 즐길 수 있는 현재의 모습으로 자리 잡았습니다. 2022년에는 미슐랭 원 스타 수쉐프 출신을 영입하며 메뉴에 대한 연구 개발을 병행하여, 단순히 음식의 비주얼이나 독특한 인테리어뿐만이 아니라, 누구나 만족할 수 있는 음식을 만들기 위해 노력하고 있습니다. 꾸꾸제주, 호랑이다락이 인접해 있습니다."
"주소","제주 제주시 한림읍 한림상로 15-5"
"주소(도로명)","제주특별자치도 제주시 한림읍 한림상로 15-5"
"주소(지번주소)","제주특별자치도 제주시 한림읍 옹포리 326-3"
"대표번호","0507-1350-7935"
"영업시간","10:30 - 20:20"
"휴무일","매주 목요일"
"취급메뉴","황게카레, 에그인헬"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 인테리어가 멋져요, 특별한 메뉴가 있어요, 친절해요, 양이 많아요"
