"관광타입","음식점"
"음식점명","제주소도리  "
"개요","숙성기법은 건조숙성 DRYAGING이고, 숙성기간은 30일입니다. 일정한 온도,습도,바람으로 적정 시간동안 고기를 공기중에 노출시켜 정성껏 숙성시켜 살코기의 육향과 지방의 풍미는 극대화되고 숙성과정에서 천연 연육작용이 일어나 고기가 부드러워집니다. 또한 그 과정에서 단백질이 분해되어 소화에도 한결 용이합니다. 제주소도리는 100퍼센트 제주산 최고급 돼지고기만을 사용합니다. 30일 드라이에이징 숙성고기로 최고의 맛을 느껴보시기 바랍니다. 롯데시네마, 에이바우트커피가 인접해 있습니다."
"주소","제주 제주시 도남로 199 1층 제주소도리"
"주소(도로명)","제주특별자치도 제주시 도남로 199"
"주소(지번주소)","제주특별자치도 제주시 아라일동 6035-3"
"대표번호","0507-1390-8690"
"영업시간","16:00 - 22:00"
"휴무일","둘째, 넷째 화요일"
"취급메뉴","소도리삼겹살, 소도리목살"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 친절해요, 재료가 신선해요, 특별한 메뉴가 있어요, 매장이 청결해요"
