"관광타입","음식점"
"음식점명","화로향"
"개요","안녕하세요. 저희 화로향의 흑돼지 오겹살은 일반 음식점에서 느낄 수 없는 깊은 맛을 자랑하며 특별한 맛으로 손님 여러분을 모시고 있습니다. 외지에서도 손님이 많이 찾아오고 있으며 오시는 분들께 맛있는 흑돼지 오겹살을 제대로 대접해 드리기 위해 노력하고 있습니다. 화로향에서 흑돼지 오겹살의 참 맛을 느껴보세요. 최고의 맛으로 모시겠습니다. 감사합니다. 네비번호는 ANGGG76입니다. 제주스위스호텔, 돔베돈, 탑고향이 인접해 있습니다."
"주소","제주 제주시 관덕로15길 27 1층"
"주소(도로명)","제주특별자치도 제주시 관덕로15길 27"
"주소(지번주소)","제주특별자치도 제주시 건입동 1399-2"
"대표번호","064-724-4050"
"영업시간","15:00-24:00"
"휴무일","매주 일요일"
"취급메뉴","흑돼지오겹살, 흑돼지생목살"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 친절해요, 재료가 신선해요, 매장이 넓어요, 특별한 메뉴가 있어요"
