"관광타입","음식점"
"음식점명","마농 제주본점"
"개요","마농은 정성가득한 수제음식을 추구하는 제주로컬푸드 레스토랑입니다. 제주방언으로 마늘이라는 뜻의 마농은 제주의 식재료와 음식을 모티브로 항상 진화하는 요리를 만들기 위해 다양한 시도와 노력을 하고 있습니다. 신선한 제주의 제철 식재료를 이용한 시즌별 테마를 가진 음식으로 고객 분들께 맛과 즐거움을 드리고 있습니다. 모던한 스타일로 편안함을 추구하는 공간으로 이루어져 있으며, 고객에 기호에 맞춘 메뉴와 서비스로 다양한 행사를 준비해 드립니다. CU, 생돈우리가 인접해 있습니다."
"주소","제주 제주시 우평로 45-1 바인빌딩 2층"
"주소(도로명)","제주특별자치도 제주시 우평로 45-1"
"주소(지번주소)","제주특별자치도 제주시 도평동 48-10"
"대표번호","0507-1423-1166"
"영업시간","11:30~21:00"
"휴무일","없음"
"취급메뉴","토마호크 스테이크, 돌문어스튜"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 친절해요, 매장이 청결해요, 주차하기 편해요, 재료가 신선해요"
