"관광타입","음식점"
"음식점명","세미식당"
"개요","제주산 흑돼지 두루치기, 흑돼지 수제돈가스, 소고기 버섯전골, 해물뚝배기 등 온 가족이 함께 식사하기 좋은 메뉴들로 구성되며 야채는 텃밭에서 유기농으로 직접 키워 제공하고 있습니다. 120석 규모로 유아를 동반해도 좋고 부모님을 모시고 오셔도 좋고 단체 식사도 하기 좋습니다. 동절기는 오후 6시까지, 하절기는 오후 7시까지 영업합니다. 야원, 맥스호텔이 인접해 있습니다."
"주소","제주 제주시 조천읍 번영로 1208 대흘리 1197-48"
"주소(도로명)","제주특별자치도 제주시 조천읍 번영로 1208"
"주소(지번주소)","제주특별자치도 제주시 조천읍 대흘리 1197-48"
"대표번호","064-783-1360"
"영업시간","08:00-20:00"
"휴무일","없음"
"취급메뉴","흑돼지두루치기, 소고기버섯전골"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 주차하기 편해요, 친절해요, 재료가 신선해요, 가성비가 좋아요"
