"관광타입","음식점"
"음식점명","코우"
"개요","당일 예약만 가능하며, 오후 1시부터 매장 전화로 예약 접수 받습니다. 5시 30분에서 6시 30분에 방문하실 분들만 예약이 가능합니다. 6시30분이 마지막 예약시간이고 그 이후에 방문하실 분들은 직접 방문하여 대기접수 부탁드립니다. 1인 방문시 2인좌석 부족으로 대기시간이 더 길어질수 있는 점 양해부탁드립니다. 매장이 협소하여 6인 이상 식사는 어려울 수 있으니 양해부탁드립니다. 마구로우니스시는 우니 시즌종료되어 판매불가합니다. 청년다방, CU가 인접해 있습니다."
"주소","제주 서귀포시 신중로13번길 3-5 신서귀포빌 지하 1층"
"주소(도로명)","제주특별자치도 서귀포시 신중로13번길 3-5"
"주소(지번주소)","제주특별자치도 서귀포시 강정동 146-4"
"대표번호","064-739-0789"
"영업시간","17:30 - 24:00"
"휴무일","매주 일요일"
"취급메뉴","사시미 모리아와세, 금태솥밥"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 친절해요, 재료가 신선해요, 특별한 메뉴가 있어요, 매장이 청결해요"
