"관광타입","음식점"
"음식점명","백가네제주한상"
"개요","제주의 신선한 특산물들을 한상에서 모두 접할 수 있는 정갈하고 푸짐한 한상을 제공해 드립니다.  매일 담그는 겉절이와 게장, 주방장 수제돈가스도 인기, 신선한 샐러드바 무료제공으로 남녀노소 모두 만족스러운 푸짐한 식사가 가능합니다. 매장 통유리로 푸른 함덕해수욕장을 감상하시면서 눈과 입이 모두 즐거운 시간을 경험하실 수 있습니다. 사람 냄새나고 내 집같이 따뜻하고 포근한 가게로 다가가겠습니다. 함덕해수욕장, 소노벨 제주, 향기있는다락방이 인접해 있습니다."
"주소","제주 제주시 조천읍 함덕로 40 1층 102호 103호"
"주소(도로명)","제주특별자치도 제주시 조천읍 함덕로 40"
"주소(지번주소)","제주특별자치도 제주시 조천읍 함덕리 산 14-13"
"대표번호","064-784-9966"
"영업시간","07:30-22:00"
"휴무일","매주 수요일"
"취급메뉴","갈치구이, 전복죽"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 인테리어가 멋져요, 재료가 신선해요, 친절해요, 특별한 메뉴가 있어요"
