"관광타입","음식점"
"음식점명","군족본점"
"개요","평범한 족발은 가라. 제주도를 대표하는 세상에 하나밖에 없는 불만 나는 바베큐 족 구이, 보쌈, 과일소스에 월남고추 3단계 배운 맛을 조절하는 군족바베큐족구이제주도서귀포 신시가지 소방소근처에 위치한 군족입니다. 저희 매장은 프렌차이즈가 아닌 단독 매장으로 동홍군족이나 강정지구 군족과는 전혀 다른 매장인데 같은 줄 오해하고 계십니다. 제주산 생족만을 사용하여 당일 9시부터 12시까지 삶아서 정성껏 준비하고 있습니다. 맛과 퀄리티에 차이를 느껴보시기 바랍니다. 테왁, 자연수산이 인접해 있습니다."
"주소","제주 서귀포시 서호남로32번길 48"
"주소(도로명)","제주특별자치도 서귀포시 서호남로32번길 48"
"주소(지번주소)","제주특별자치도 서귀포시 서호동 1551-4"
"대표번호","0507-1410-9267"
"영업시간","11:00-01:00"
"휴무일","없음"
"취급메뉴","바베큐군족, 바베큐미니족"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 주차하기 편해요, 친절해요, 양이 많아요, 특별한 메뉴가 있어요"
