"관광타입","음식점"
"음식점명","제주김만복 본점"
"개요","7월 26일 여름철 재정비 완료해서 정상 영업중입니다. 포장과 매장내 식사 모두 가능하며 모바일 주문으로 보다 더 빠르고 편리하게 픽업 서비스를 이용하실 수 있습니다. 픽업 시간 최소 30분 전에 미리 모바일로 주문하면, 본점 방문하여 음식을 픽업 하거나, 제주 공항 배달까지 가능합니다. 많은 이용 부탁드립니다. 앞머들산, 제주공항, 먹쿠슬낭카페가 인접해 있습니다."
"주소","제주 제주시 오라로 41"
"주소(도로명)","제주특별자치도 제주시 오라로 41"
"주소(지번주소)","제주특별자치도 제주시 오라삼동 2250-1"
"대표번호","064-759-8582"
"영업시간","08:00~19:00/20:30"
"휴무일","전화문의"
"취급메뉴","만복이네김밥, 통전복주먹밥"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 특별한 메뉴가 있어요, 주차하기 편해요, 재료가 신선해요, 매장이 청결해요"
