"관광타입","음식점"
"음식점명","메리앤폴"
"개요","요리하는 메리와 바리스타 폴의 소박한 바다마을 작은 레스토랑입니다. 모든 요리는 주문과 동시에 시작합니다. 제주지역 농산물을 적극 사용합니다. Good Food, Good Time, Good Friends입니다. 오전 11시 30분에 OPEN 하고 마지막 주문은 7시입니다만, 재료 소진 시 일찍 마칠 수 있습니다. 저녁에는 확인해 보시는 것도 좋습니다. 주문은 매장에 도착한 순서대로 받겠습니다. 전화로 손님의 도착 시간을 통보하시고 메뉴 주문도 하시면서 도착 시간에 맞춰 음식을 제공해 달라는 말씀은 말아주세요. 저희 메리와 폴은 오시는 분 모두에게 최선을 다하고 싶습니다. 곰세마리블럭방, GS25 한림월광점이 인접해 있습니다."
"주소","제주 제주시 한림읍 일주서로 5872"
"주소(도로명)","제주특별자치도 제주시 한림읍 일주서로 5872"
"주소(지번주소)","제주특별자치도 제주시 한림읍 귀덕리 1173"
"대표번호","0507-1414-7411"
"영업시간","11:30 - 20:00"
"휴무일","매주 수요일"
"취급메뉴","함박스테이크, 수제흑돼지돈까스"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 재료가 신선해요, 친절해요, 특별한 메뉴가 있어요, 매장이 청결해요"
