"관광타입","음식점"
"음식점명","윤가우동 중문본점"
"개요","저희 윤가우동은 2020년 제주 서귀포에 첫 매장을 오픈하여 오로지 다녀가신 분들의 꾸준한 재방문과 입소문만으로 체인 사업을 시작했습니다. 어머니가 정성스레 집에서 말아주시던 정겨운 김밥의 맛과 직접 반죽해서 쫄깃한 면발에 깊은 맛의 멸치육수가 어우러진 따뜻한 우동 한 그릇이 윤가우동을 대표하는 메인 메뉴입니다. 깔끔한 인테리어와 부담 없는 가격, 기본에 충실한 맛으로 제주 도민들과 관광객분들에게 이미 소문난 맛집으로 평가받고 있습니다. 저희 윤가우동의 모든 매장은 항상 신선한 재료를 사용하고 정성껏 조리해서 언제나 맛있는 한 끼를 드실 수 있도록 최선을 다해 노력하겠습니다. 감사합니다. 고운피부, 중문sk가 인접해 있습니다."
"주소","제주 서귀포시 천제연로 178"
"주소(도로명)","제주특별자치도 서귀포시 천제연로 178"
"주소(지번주소)","제주특별자치도 서귀포시 중문동 2118-3"
"대표번호","064-738-7400"
"영업시간","10:00-20:00"
"휴무일","매주 목요일"
"취급메뉴","윤가우동, 비빔우동"
"주차시설 유무","없음"
"리뷰키워드","음식이 맛있어요, 친절해요, 혼밥하기 좋아요, 매장이 청결해요, 재료가 신선해요"
