"관광타입","음식점"
"음식점명","하도핑크"
"개요","제주도에서 요리하는 부부입니다. 점심타임 11시에서 14시입니다. 저녁타임 17시에서 19시 30분입니다. 매주 목요일 점심영업만 합니다. 휴무는 금요일입니다. 노키즈존, 노펫입니다. 재료 소진시 조기마감 될 수 있습니다. 예약, 포장 안됩니다. 외부음식, 음료, 술, 쓰레기 반입금지입니다. 마스크 착용 후 방문해 주세요. 방문전 공지 확인 후 방문해 주세요. 신동복지회관, 하도이스케이프가 인접해 있습니다."
"주소","제주 제주시 구좌읍 문주란로1길 43 하도핑크"
"주소(도로명)","제주특별자치도 제주시 구좌읍 문주란로1길 43"
"주소(지번주소)","제주특별자치도 제주시 구좌읍 하도리 1624-9"
"대표번호","0507-1338-5650"
"영업시간","11:00~20:00"
"휴무일","매주 금요일"
"취급메뉴","딱새우리조또, 전복장필라프"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 친절해요, 인테리어가 멋져요, 특별한 메뉴가 있어요, 재료가 신선해요"
