"관광타입","음식점"
"음식점명","성산해촌"
"개요","안녕하십니까. 성산해촌입니다. 저희 업체 해촌은 1988년부터 현재까지 한결같은 마음으로 운영하고 있는 가게입니다. 제주 향토 음식과 회 그리고 아름다운 성산 일출봉의 전경을 바라보면서 맛있는 음식을 드실 수 있는 곳입니다. 항상 신선한 재료와 정직한 마음으로 손님들을 대하는 해촌이 되도록 하겠습니다. 감사합니다. 성산일출봉, 백록수산, 오션라운지가 인접해 있습니다."
"주소","제주 서귀포시 성산읍 일출로 220 해촌식당"
"주소(도로명)","제주특별자치도 서귀포시 성산읍 일출로 220"
"주소(지번주소)","제주특별자치도 서귀포시 성산읍 성산리 399-10"
"대표번호","064-784-8001"
"영업시간","07:00-22:00"
"휴무일","전화문의"
"취급메뉴","다금바리, 전복"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 뷰가 좋아요, 재료가 신선해요, 친절해요, 가성비가 좋아요"
