"관광타입","음식점"
"음식점명","베메로 bake make roast"
"개요","카페 세렌디에서 새롭게 bake make roast 이름으로 새롭게 바뀌었어요.  ba ma ro 베메로입니다. 샌드위치 라스트 오더 17시까지. 커피는 매장에서 직접 로스팅하는 스페셜티 커피 원두, 드립백, 추출 도구 등 구매 가능. 1. 브루잉 세렌디커피, 머신을 통해 매일 다른 원두로 추출하는 오늘의 커피. 핸드드립, 최고 등급의 개성 있는 원두들을 맛볼 수 있는 드립 커피. 2. 에스프레소, 포레스트 블렌딩, 에티오피아, 디카페인 원두 중 선택 가능. 3. 베이글 주메뉴인 베이글은 유기농 밀가루만을 사용하고 버터, 설탕, 계란, 우유를 사용하지 않음. 천연 발효종과 제주 꿀을 사용하여 칼로리가 낮고 소화가 잘되는 부드러운 베이글 매일 아침 구워 당일 한정판매. 4. 크림치즈 유기농 비정제 설탕과 수제 마말레이드 등으로 만드는 수제 크림치즈 천혜향 크림치즈가 가장 유명하며, 어니언 크림치즈, 블루베리 크림치즈 등 선택 가능. 5. 베이글 샌드위치와 샐러드. 바질페스토, 갈릭마요 소스, 연어 크림치즈 등 대부분의 소스도 매장에서 직접 만들어 건강하고 신선하게 만듭니다. 롯데호텔 버스정류장이 인접해 있습니다."
"주소","제주 서귀포시 중문관광로72번길 29-9 신우성타운 내 라동"
"주소(도로명)","제주특별자치도 서귀포시 중문관광로72번길 29-9"
"주소(지번주소)","제주특별자치도 서귀포시 색달동 2822-2"
"대표번호","064-738-7832"
"영업시간","08:30 - 19:00"
"휴무일","없음"
"취급메뉴","천혜향베이글,  카프레제 샌드위치"
"주차시설 유무","있음"
"리뷰키워드","디저트가 맛있어요, 커피가 맛있어요, 음료가 맛있어요, 친절해요, 매장이 청결해요"
