"관광타입","음식점"
"음식점명","수라원  "
"개요","저녁보쌈, 점심 뷔페를 합니다. 단 일요일 돌잔치 및 각종 모임이 있을 경우 일반 손님분들께서는 식사을 하실수 없습니다. 이점 양해 부탁드립니다. 메뉴는 한식뷔페이고 주차는 55대까지 주차 가능합니다. 돌잔치, 각종 모임 사전예약하셔야 합니다. 토, 일 돌잔치가 있을 경우 일반 손님은 받을 수가 없습니다. 주말.공휴일은 매장 일정에 따라 변경되니 사전 전화 부탁 합니다. 제주여고사거리, 제주해양경찰 정문이 인접해 있습니다."
"주소","제주 제주시 구산로 70-1 수라원"
"주소(도로명)","제주특별자치도 제주시 구산로 70"
"주소(지번주소)","제주특별자치도 제주시 아라일동 2420-4"
"대표번호","0507-1491-5522"
"영업시간","11:00 - 22:00"
"휴무일","전화문의"
"취급메뉴","보쌈, 낙지볶음"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 재료가 신선해요, 주차하기 편해요, 친절해요, 가성비가 좋아요"
