"관광타입","음식점"
"음식점명","명리동식당 구좌직영점"
"개요","제주도 흑돼지의 참맛을 느낄 수 있는 전통의 명리동식당 구좌점입니다. 쫄깃탱글한 흑돼지 삼겹과 부드럽고 두툼한 목살은 제주산 최상급 흑돼지입니다. 특수부위 짜투리 고기는 다른곳에서는 맛보실수 없는 인기상품입니다. 가마솥에서 우린 육수로 끓이는 김치전골은 고기와 찰떡궁합입니다. 월정리 해변, 성산일출봉, 평대리 마을회관, 생태관광마을평대리가 인접해 있습니다."
"주소","제주 제주시 구좌읍 일주동로 3010-17"
"주소(도로명)","제주특별자치도 제주시 구좌읍 일주동로 3010-17"
"주소(지번주소)","제주특별자치도 제주시 구좌읍 평대리 755"
"대표번호","0507-1424-2269"
"영업시간","11:30 - 21:30"
"휴무일","매주 수요일"
"취급메뉴","제주 흑돼지 삼겹, 제주 흑돼지 목살"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 친절해요, 주차하기 편해요, 재료가 신선해요, 매장이 넓어요"
