"관광타입","음식점"
"음식점명","단백"
"개요","성산일출봉 인근의 다양한 전통주를 혼술 하기 좋은 고깃집입니다. 목살구이 전문으로 숯 향 가득한 구이를 제공합니다. 1인 주문이 가능하니, 편하게 고기를 드시고 싶으신 분들께 추천합니다. 네이버를 통해 예약이 가능하며 3일 후까지 가능합니다. 하루 전까지 취소가 가능하며 변동 사항 발생 시 인스타그램 DM 부탁드립니다. 성산일출봉, 어촌종합센타, 짱아저씨가 인접해 있습니다."
"주소","제주 서귀포시 성산읍 성산중앙로 17"
"주소(도로명)","제주특별자치도 서귀포시 성산읍 성산중앙로 17"
"주소(지번주소)","제주특별자치도 서귀포시 성산읍 성산리 164-11"
"대표번호","0507-1360-9571"
"영업시간","12:30-22:30"
"휴무일","전화문의"
"취급메뉴","목살구이, 찹쌀떡두부"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 친절해요, 혼밥하기 좋아요, 특별한 메뉴가 있어요, 재료가 신선해요"
