"관광타입","음식점"
"음식점명","평대앓이"
"개요","딱새우 회, 파스타, 흑돼지 수비드 안심스테이크, 딱새우장 덮밥입니다. 평대앓이는 맛있는 퓨전 요리를 선보입니다. 재료 소진 시 조기 마감합니다. 수비드 흑돼지 안심스테이크는 저온에서 장시간 천천히 조리한 흑돼지 본연의 맛을 느낄 수 있는 요리입니다. 딱새우사시미는 제주 로컬 푸드인 딱새우를 회로 만나실 수 있습니다. 남강개발, 효도뷔페가 인접해 있습니다."
"주소","제주 제주시 구좌읍 비자림로 2718-3"
"주소(도로명)","제주특별자치도 제주시 구좌읍 비자림로 2718-3"
"주소(지번주소)","제주특별자치도 제주시 구좌읍 평대리 1711-1"
"대표번호","064-783-2470"
"영업시간","11:30 - 20:00"
"휴무일","매주 화요일, 수요일"
"취급메뉴","수비드 제주흑돼지 스테이크, 딱새우사시미"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 인테리어가 멋져요, 특별한 메뉴가 있어요, 재료가 신선해요, 주차하기 편해요"
