"관광타입","음식점"
"음식점명","소금빵까페 키친오즈"
"개요","제주 핑크 뮬리의 원조 삼청동에서 제주로 이주한 카페 키친오즈는 동화에 나오는 집과 같은 외형과 오즈 스타일의 인테리어가 이국적인 느낌을 줍니다. 최고급 이태리 밀가루를 사용하여 매일 직접 반죽하여 만드는 소금빵은 그 식감과 맛이 최고라고 자신 있게 말할 수 있습니다. 카페 뒤쪽에 위치한 비밀의 허브 정원에는 4000주 이상의 핑크 뮬리, 라벤다, 타임, 러시안 세이지 등이 이국적인 풍경을 만들어 냅니다. 흔하지 않은 제주의 숨은 명소, 나만 알고 싶은 브레드 카페 레스토랑입니다. 애견 동반 가능합니다. 현재 사정상 소금빵과 음료만 판매합니다. 파스타는 11월부터 다시 하오니 양해해 주시기 바랍니다. 스톤빌리지, 제주 금강산콘도가 인접해 있습니다."
"주소","제주 제주시 한림읍 협재로 208"
"주소(도로명)","제주특별자치도 제주시 한림읍 협재로 208"
"주소(지번주소)","제주특별자치도 제주시 한림읍 협재리 958-1"
"대표번호","064-796-7165"
"영업시간","11:00 - 18:00"
"휴무일","매주 화요일"
"취급메뉴","소금빵, 새우 로제파스타"
"주차시설 유무","있음"
"리뷰키워드","빵이 맛있어요, 친절해요, 인테리어가 멋져요, 커피가 맛있어요, 음료가 맛있어요"
