"관광타입","음식점"
"음식점명","제주힐링돼지"
"개요","올레길 7코스와 서귀포 강정동의 바다와 노을이 함께하는 야외테이블 힐링 공간. 와인과 함께하는 감성 흑돼지. 	 제주, 힐링돼지에서 힐링 되지. 최고급 흑돼지를 참숯, 비장탄에 구워 드시고 바다 앞에 펼쳐진 잔디밭에서 온 가족이 함께, 연인과 함께 아름다운 추억으로 힐링하세요. 서귀포 맛집 강정동 맛집 서귀포 흑돼지 강정동 흑돼지 중문 맛집 바다뷰 오션뷰 노을뷰 야외테이블 감성 흑돼지 와인 힐링. 강정포구, 서귀포크루즈터미널이 인접해 있습니다."
"주소","제주 서귀포시 말질로 320"
"주소(도로명)","제주특별자치도 서귀포시 말질로 320"
"주소(지번주소)","제주특별자치도 서귀포시 강정동 5009-3"
"대표번호","064-739-0323"
"영업시간","17:00 - 21:00"
"휴무일","매주 화요일"
"취급메뉴","바다힐링돼지, 노을힐링돼지"
"주차시설 유무","있음"
"리뷰키워드","뷰가 좋아요, 친절해요, 음식이 맛있어요, 재료가 신선해요, 주차하기 편해요"
