"관광타입","음식점"
"음식점명","만인정"
"개요","한경면 대표 현지 맛집입니다. 점심에 나오는 정식의 반찬은 가짓 수가 많고 메인 반찬이 매일 바뀌어 순환율이 좋아 신선합니다. 저녁에는 많은 노하우가 깃들인 양념갈비와 민물장어가 있습니다. 많은 주민들이 자주 찾아주시는 이유가 아닐까 싶습니다. 제주 현지 식사를 맛보고 싶으신 분이나 맛있는 양념갈비와 장어가 드시고 싶으신 분들은 주저 말고 만인정으로 오시기 바랍니다. 덧붙여 시외버스 정류장이 바로 가까이에 있어 교통도 편리하답니다. 신창중학교, 신창초등학교, 한림수협 한경지점이 인접해 있습니다."
"주소","제주 제주시 한경면 두신로 58"
"주소(도로명)","제주특별자치도 제주시 한경면 두신로 58"
"주소(지번주소)","제주특별자치도 제주시 한경면 신창리 393"
"대표번호","0507-1409-5982"
"영업시간","11:00-21:00"
"휴무일","없음"
"취급메뉴","민물장어, 양념갈비"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 양이 많아요, 가성비가 좋아요, 친절해요, 재료가 신선해요"
