"관광타입","음식점"
"음식점명","금돈가 제주본점"
"개요","저희는 특수주문 제작 불판을 사용하여 참나무 장작구이 흑돼지 전문점입니다. 제주 흑돼지의 육즙과 각종 영양소를 보존하면서 드실 수 있는 제주 애월 흑돼지 맛집으로 소문난 제주 애월 맛집 금돈가 입니다. 어디에서도 경험할 수 없는 최상급 제주 흑돼지 맛집에서 최고의 맛을 경험해 보십시오. 고기는 저희가 최상의 맛으로 구워드리도록 하겠습니다. 참숯 및 연탄구이에서 느낄 수 없는 최상급 흑돼지의 담백함과 풍부한 육즙을 느끼러 오세요. 멕시카나치킨 하귀해안로점, 카페가호가 인접해 있습니다."
"주소","제주 제주시 애월읍 가문동남길 63"
"주소(도로명)","제주특별자치도 제주시 애월읍 가문동남길 63"
"주소(지번주소)","제주특별자치도 제주시 애월읍 하귀2리 2717"
"대표번호","0507-1396-6466"
"영업시간","11:00 - 22:30"
"휴무일","없음"
"취급메뉴","흑돼지, 흑돼지김치찌개"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 재료가 신선해요, 친절해요, 매장이 청결해요, 양이 많아요"
