"관광타입","음식점"
"음식점명","로이앤메이"
"개요","100퍼센트 예약제로 운영되고 있습니다. 방문하시는데 참고 부탁드립니다. 로이앤메이는 런던에서 함께 디자인을 공부하고 요리에 관심이 많은 한중 부부가 차린 작고 소박한 중국 가정식 식당입니다.  중국 남편이 어릴 적부터 먹어오던 건강한 중국 가정 음식을 선보이고 있습니다. 온평모다들엉, 달휴게스트하우스가 인접해 있습니다."
"주소","제주 서귀포시 성산읍 온평상하로15번길 12-7"
"주소(도로명)","제주특별자치도 서귀포시 성산읍 온평상하로15번길 12-7"
"주소(지번주소)","제주특별자치도 서귀포시 성산읍 온평리 811-1"
"대표번호","0507-1417-8108"
"영업시간","11:30-16:00"
"휴무일","매주 토요일, 일요일, 공휴일"
"취급메뉴","중국식 제주 건두부 무침, 한우 아롱사태 장육"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 친절해요, 특별한 메뉴가 있어요, 재료가 신선해요, 특별한 날 가기 좋아요"
