"관광타입","음식점"
"음식점명","큰솔가흑돼지"
"개요","안녕하세요. 큰솔가입니다. 제주도에 방문하시는 손님 여러분 환영합니다. 저희 큰솔가는 제주도 중문에 위치하고 중문에 위치하고 있습니다. 제주 중문에서 뿐만 아니라 서귀포에서도 흑돼지가 유명한 맛집입니다. 저희 큰솔가는 언제나 최상의 고기 질을 유지하겠습니다. 고객 여러분의 상차림에 소홀히 하지 않으며, 곁들임 찬 또한 항상 주의 기울이겠습니다. 항상 깨끗하고 위생적인 환경을 유지하겠습니다. 제주도 흑돼지 하면 큰솔가라는 자부심으로 최선을 다하고 있습니다. 고기 부심 하루도 빠짐없이 생각하고 고민하고 항상 열정적으로 노력하고 있습니다. 만족스러운 식사를 위해 최선을 다하는 큰 솔가 입니다. 저희 가게를 찾아주시는 모든 손님에게 감사의 마음을 갖고 있습니다. 찾아주셔서 감사합니다. 열심히 노력하겠습니다. 바다다카페, dp159카페가 인접해 있습니다."
"주소","제주 서귀포시 이어도로 193"
"주소(도로명)","제주특별자치도 서귀포시 이어도로 193"
"주소(지번주소)","제주특별자치도 서귀포시 대포동 2211"
"대표번호","0507-1356-1136"
"영업시간","11:00 - 22:00"
"휴무일","없음"
"취급메뉴","흑돼지 오겹살, 흑돼지 목살"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 친절해요, 주차하기 편해요, 매장이 넓어요, 재료가 신선해요"
