"관광타입","음식점"
"음식점명","고집순두부 본점"
"개요","100프로 국내산 콩과 해양 심층수로만 만드는 제주 고집순두부 본점입니다. 건강하고 담백한 두부 요리를 푸짐하게 준비했습니다. 사계절 내내 매일 만드는 신선한 두부와 콩물 ,콩국수를 드실 수 있답니다. 맛있고 건강한 한 끼를 위해 항상 발전하는 고집순두부가 되겠습니다. 감사합니다. 제주한라병원, 한담팥빵, 진가커피가 인접해 있습니다."
"주소","제주 제주시 제원1길 33 1층 고집순두부 본점"
"주소(도로명)","제주특별자치도 제주시 제원1길 33"
"주소(지번주소)","제주특별자치도 제주시 연동 251-27"
"대표번호","0507-1379-5020"
"영업시간","00:00/06:00~22:00/24:00"
"휴무일","전화문의"
"취급메뉴","짬뽕 순두부, 정통 몽글 순두부"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 친절해요, 매장이 청결해요, 매장이 넓어요, 재료가 신선해요"
